Locality,Property_Type,Furnishing_Status,Area_SqFt,BHK_Size,Bathroom_Count,Balcony_Count,Property_Age,Region,Price_Lakhs
Colaba,Apartment,Unfurnished,329,1,1,3,10,MMR,194.23
Panvel,Apartment,Unfurnished,398,1,1,2,10,Navi Mumbai,24.19
Pedder Road,Apartment,Fully Furnished,627,2,2,2,7,MMR,468.29
Borivali East,Apartment,Semi-Furnished,507,2,2,2,4,Mumbai,73.57
Byculla,Apartment,Unfurnished,448,1,1,1,30,Mumbai,151.24
Kanjurmarg,Apartment,Unfurnished,1498,4,4,1,22,MMR,239.07
Malad East,Apartment,Unfurnished,498,2,2,1,29,Mumbai,61.89
Bandra East,Apartment,Unfurnished,701,2,2,1,40,Mumbai,238.56
Nariman Point,Apartment,Unfurnished,884,3,3,1,4,MMR,543.65
Ghansoli,Apartment,Unfurnished,1288,4,4,3,5,Navi Mumbai,105.87
Colaba,Apartment,Unfurnished,557,2,2,1,4,MMR,414.73
Sanpada,Apartment,Unfurnished,732,3,3,1,4,Navi Mumbai,91.03
Oshiwara,Apartment,Semi-Furnished,1325,4,4,1,6,MMR,279.35
Kandivali West,Apartment,Semi-Furnished,1087,3,3,1,11,Mumbai,209.39
Dadar East,Apartment,Semi-Furnished,972,3,3,1,7,MMR,306.1
Malad West,Apartment,Semi-Furnished,1007,3,3,1,5,Mumbai,217.07
Pedder Road,Apartment,Unfurnished,805,3,3,1,37,MMR,400.55
Naigaon,Apartment,Unfurnished,643,2,2,1,12,Vasai-Virar,23.25
Mulund East,Apartment,Fully Furnished,545,2,2,1,7,Mumbai,86.82
Wadala,Apartment,Fully Furnished,886,3,3,1,7,Mumbai,430.73
Vile Parle West,Apartment,Unfurnished,587,2,2,2,5,Mumbai,249.97
Ghansoli,Apartment,Fully Furnished,614,2,2,1,22,Navi Mumbai,59.31
Wadala,Apartment,Unfurnished,952,3,3,2,2,Mumbai,277.1
Mumbra,Apartment,Unfurnished,621,2,2,1,7,Thane,36.3
Goregaon West,Apartment,Unfurnished,816,3,3,2,2,Mumbai,182.26
Pedder Road,Apartment,Unfurnished,976,3,3,3,3,MMR,738.92
Panvel,Apartment,Unfurnished,941,3,3,3,12,Navi Mumbai,50.22
Vasai,Apartment,Semi-Furnished,1387,4,4,2,10,Vasai-Virar,73.87
Mumbra,Apartment,Fully Furnished,2182,5,5,1,2,Thane,111.36
Kandivali East,Apartment,Unfurnished,1474,4,4,2,7,Mumbai,217.3
Thane West,Apartment,Semi-Furnished,1049,3,3,1,21,Thane,124.81
Nariman Point,Apartment,Fully Furnished,747,2,2,2,4,MMR,569.76
Powai,Apartment,Unfurnished,903,3,3,1,12,Mumbai,235.36
Matunga,Apartment,Unfurnished,727,2,2,1,20,MMR,218.78
Kalyan,Apartment,Unfurnished,1090,3,3,2,13,Thane,47.22
Sion,Apartment,Semi-Furnished,1428,4,4,1,4,Mumbai,353.74
Seawoods,Apartment,Unfurnished,1076,3,3,1,22,Navi Mumbai,106.83
Vikhroli,Apartment,Fully Furnished,1805,4,4,2,6,Mumbai,342.49
Dadar West,Apartment,Unfurnished,1140,3,3,2,40,MMR,387.98
Panvel,Apartment,Unfurnished,625,2,2,1,28,Navi Mumbai,36.88
Borivali East,Apartment,Fully Furnished,682,2,2,1,9,Mumbai,110.95
Borivali East,Apartment,Unfurnished,670,2,2,2,11,Mumbai,84.34
Vile Parle West,Apartment,Unfurnished,648,2,2,1,4,Mumbai,228.11
Mazgaon,Apartment,Semi-Furnished,383,1,1,3,4,MMR,103.27
Mulund East,Apartment,Semi-Furnished,444,1,1,1,3,Mumbai,78.29
Bandra East,Apartment,Unfurnished,288,1,1,1,37,Mumbai,91.58
Colaba,Apartment,Fully Furnished,1097,3,3,2,2,MMR,701.54
Kurla East,Apartment,Fully Furnished,473,2,2,0,9,MMR,79.56
Worli,Apartment,Unfurnished,2952,5,5,3,3,Mumbai,1914.63
Virar,Apartment,Fully Furnished,662,2,2,1,39,Vasai-Virar,31.66
Nala Sopara,Apartment,Unfurnished,1122,4,4,1,8,Vasai-Virar,42.51
Nariman Point,Apartment,Unfurnished,1258,3,3,1,10,MMR,653.58
Airoli,Apartment,Fully Furnished,935,3,3,2,5,Navi Mumbai,95.79
Belapur,Apartment,Unfurnished,2822,5,5,1,12,MMR,359.27
Parel,Apartment,Unfurnished,957,3,3,0,2,Mumbai,370.44
Borivali West,Apartment,Semi-Furnished,1370,4,4,1,3,Mumbai,204.56
Dombivli,Apartment,Unfurnished,590,2,2,1,16,Thane,26.91
Kandivali West,Apartment,Unfurnished,585,2,2,1,15,Mumbai,96.47
Dahisar,Apartment,Unfurnished,979,3,3,1,14,Mumbai,113.13
Vashi,Apartment,Semi-Furnished,698,2,2,1,21,Navi Mumbai,92.18
Borivali West,Apartment,Semi-Furnished,935,3,3,1,19,Mumbai,115.7
Breach Candy,Apartment,Unfurnished,875,3,3,2,4,MMR,791.75
Ulwe,Apartment,Semi-Furnished,973,3,3,2,10,Navi Mumbai,64.49
Kandivali East,Apartment,Fully Furnished,1611,4,4,3,36,Mumbai,248.04
Kurla East,Apartment,Unfurnished,1453,4,4,3,19,MMR,235.13
Seawoods,Apartment,Unfurnished,504,1,1,1,8,Navi Mumbai,35.74
Vile Parle East,Apartment,Semi-Furnished,500,2,2,1,25,Mumbai,110.78
Naigaon,Apartment,Unfurnished,680,2,2,2,4,Vasai-Virar,26.23
Sion,Apartment,Unfurnished,702,2,2,2,11,Mumbai,202.98
Bkc (Bandra-Kurla),Apartment,Unfurnished,1879,4,4,3,4,MMR,1053.78
Mulund East,Apartment,Semi-Furnished,919,3,3,2,25,Mumbai,77.91
Juhu,Apartment,Fully Furnished,1467,4,4,2,18,Mumbai,940.75
Manpada,Apartment,Semi-Furnished,864,3,3,1,6,MMR,75.82
Thane West,Apartment,Semi-Furnished,1441,4,4,1,2,Thane,135.3
Ambernath,Apartment,Unfurnished,1311,4,4,2,3,Thane,46.78
Nerul,Apartment,Unfurnished,901,3,3,3,6,Navi Mumbai,81.61
Wadala,Apartment,Semi-Furnished,559,2,2,1,4,Mumbai,167.91
Bandra East,Apartment,Unfurnished,645,2,2,1,9,Mumbai,256.51
Bhandup,Apartment,Semi-Furnished,744,2,2,1,13,Mumbai,118.18
Mazgaon,Apartment,Unfurnished,554,2,2,1,40,MMR,138.62
Byculla,Apartment,Semi-Furnished,345,2,2,2,6,Mumbai,144.49
Walkeshwar,Apartment,Unfurnished,605,2,2,1,26,MMR,429.86
Borivali West,Apartment,Semi-Furnished,431,1,1,3,12,Mumbai,78.3
Kanjurmarg,Apartment,Unfurnished,1686,4,4,1,6,MMR,228.5
Worli,Apartment,Fully Furnished,1934,4,4,2,2,Mumbai,1636.69
Ambernath,Apartment,Fully Furnished,1370,4,4,1,6,Thane,51.96
Worli,Apartment,Unfurnished,873,3,3,1,20,Mumbai,577.95
Mumbra,Apartment,Semi-Furnished,822,3,3,1,2,Thane,38.88
Kurla West,Apartment,Unfurnished,908,3,3,2,6,MMR,190.95
Mulund East,Apartment,Fully Furnished,1052,3,3,1,11,Mumbai,183.95
Sewri,Apartment,Unfurnished,718,2,2,0,3,MMR,168.41
Versova,Apartment,Semi-Furnished,3139,5,5,2,9,MMR,978.89
Mahalaxmi,Apartment,Unfurnished,793,2,2,1,3,MMR,416.64
Naigaon,Apartment,Semi-Furnished,716,2,2,1,32,Vasai-Virar,23.05
Marine Drive,Apartment,Unfurnished,1056,3,3,1,18,MMR,786.03
Kharghar,Apartment,Unfurnished,1921,5,5,1,2,Navi Mumbai,192.27
Thane West,Apartment,Semi-Furnished,481,1,1,1,17,Thane,31.05
Bandra East,Apartment,Fully Furnished,374,1,1,1,10,Mumbai,149.36
Kandivali West,Apartment,Fully Furnished,507,1,1,0,3,Mumbai,73.48
Colaba,Apartment,Fully Furnished,606,2,2,0,20,MMR,293.78
Mahalaxmi,Apartment,Semi-Furnished,560,2,2,1,6,MMR,260.7
Thane East,Apartment,Semi-Furnished,663,2,2,1,18,Thane,62.6
Nariman Point,Apartment,Fully Furnished,1396,4,4,2,6,MMR,1016.73
Ghodbunder Road,Apartment,Semi-Furnished,702,3,3,1,14,MMR,52.84
Andheri West,Apartment,Unfurnished,392,1,1,1,9,Mumbai,119.59
Sion,Apartment,Unfurnished,473,1,1,2,22,Mumbai,95.07
Malabar Hill,Apartment,Unfurnished,1209,3,3,1,16,MMR,878.75
Kopar Khairane,Apartment,Semi-Furnished,560,2,2,1,23,MMR,58.72
Powai,Apartment,Semi-Furnished,359,1,1,1,10,Mumbai,86.85
Mulund East,Apartment,Unfurnished,563,2,2,2,3,Mumbai,66.74
Kopar Khairane,Apartment,Semi-Furnished,514,2,2,0,17,MMR,53.42
Oshiwara,Apartment,Semi-Furnished,1352,4,4,2,20,MMR,361.91
Ambernath,Apartment,Unfurnished,856,3,3,3,35,Thane,34.29
Lower Parel,Apartment,Unfurnished,943,3,3,1,10,Mumbai,429.7
Wadala,Apartment,Fully Furnished,580,2,2,1,13,Mumbai,197.73
Sanpada,Apartment,Unfurnished,706,2,2,1,11,Navi Mumbai,72.16
Ghansoli,Apartment,Unfurnished,620,2,2,2,6,Navi Mumbai,54.66
Dahisar,Apartment,Fully Furnished,1185,4,4,2,14,Mumbai,113.43
Pedder Road,Apartment,Semi-Furnished,835,3,3,1,6,MMR,574.07
Nariman Point,Apartment,Semi-Furnished,674,2,2,1,9,MMR,338.51
Kurla West,Apartment,Semi-Furnished,286,1,1,1,39,MMR,65.51
Parel,Apartment,Semi-Furnished,879,2,2,1,2,Mumbai,306.37
Airoli,Apartment,Fully Furnished,660,2,2,3,27,Navi Mumbai,52.2
Belapur,Apartment,Unfurnished,858,3,3,1,11,MMR,106.45
Mira Road,Apartment,Unfurnished,908,3,3,1,29,Mira-Bhayandar,64.95
Kandivali East,Apartment,Semi-Furnished,706,2,2,1,2,Mumbai,110.0
Kandivali West,Apartment,Unfurnished,702,2,2,0,10,Mumbai,107.79
Belapur,Apartment,Unfurnished,874,3,3,2,12,MMR,108.09
Wadala,Apartment,Unfurnished,556,2,2,3,8,Mumbai,242.43
Badlapur,Apartment,Semi-Furnished,1033,3,3,1,18,Thane,38.18
Pedder Road,Apartment,Unfurnished,1076,3,3,1,7,MMR,697.81
Thane West,Apartment,Fully Furnished,615,2,2,0,30,Thane,76.28
Kopar Khairane,Apartment,Semi-Furnished,1316,3,3,0,7,MMR,125.13
Matunga,Apartment,Semi-Furnished,609,2,2,2,20,MMR,186.38
Vile Parle East,Apartment,Unfurnished,434,1,1,2,14,Mumbai,134.18
Vikhroli,Apartment,Unfurnished,381,1,1,1,12,Mumbai,71.47
Malad West,Apartment,Unfurnished,1489,4,4,3,5,Mumbai,251.67
Khar West,Apartment,Unfurnished,1147,3,3,3,4,MMR,662.68
Airoli,Apartment,Unfurnished,2001,5,5,3,14,Navi Mumbai,183.41
Sewri,Apartment,Semi-Furnished,844,3,3,1,6,MMR,233.73
Virar,Apartment,Semi-Furnished,432,1,1,1,10,Vasai-Virar,20.93
Sanpada,Apartment,Unfurnished,928,3,3,1,12,Navi Mumbai,89.58
Lokhandwala,Apartment,Semi-Furnished,605,2,2,1,36,MMR,121.51
Chembur,Apartment,Semi-Furnished,676,2,2,2,10,Mumbai,193.39
Khar West,Apartment,Unfurnished,929,3,3,2,16,MMR,494.87
Mira Road,Apartment,Fully Furnished,944,3,3,2,38,Mira-Bhayandar,75.2
Kopar Khairane,Apartment,Fully Furnished,1483,4,4,2,37,MMR,169.31
Bkc (Bandra-Kurla),Apartment,Semi-Furnished,759,3,3,1,9,MMR,578.01
Nariman Point,Apartment,Semi-Furnished,2031,5,5,2,10,MMR,1303.8
Wadala,Apartment,Fully Furnished,943,3,3,2,21,Mumbai,298.5
Mira Road,Apartment,Unfurnished,1024,3,3,1,11,Mira-Bhayandar,86.73
Kurla West,Apartment,Fully Furnished,1461,4,4,1,9,MMR,338.81
Mazgaon,Apartment,Unfurnished,676,2,2,1,19,MMR,214.74
Mulund East,Apartment,Unfurnished,612,2,2,0,3,Mumbai,86.66
Lokhandwala,Apartment,Unfurnished,1336,4,4,3,5,MMR,467.85
Mulund West,Apartment,Semi-Furnished,1531,4,4,2,11,Mumbai,241.63
Tardeo,Apartment,Semi-Furnished,651,3,3,1,5,MMR,357.29
Badlapur,Apartment,Unfurnished,766,2,2,2,11,Thane,25.79
Ghodbunder Road,Apartment,Unfurnished,460,1,1,1,23,MMR,39.42
Vile Parle East,Apartment,Unfurnished,517,2,2,2,4,Mumbai,124.68
Panvel,Apartment,Semi-Furnished,540,2,2,3,11,Navi Mumbai,33.07
Kalyan,Apartment,Unfurnished,559,2,2,1,2,Thane,33.38
Badlapur,Apartment,Fully Furnished,557,2,2,1,13,Thane,20.43
Naigaon,Apartment,Semi-Furnished,901,3,3,1,4,Vasai-Virar,33.27
Dadar West,Apartment,Unfurnished,607,2,2,0,9,MMR,206.31
Bandra East,Apartment,Unfurnished,2838,5,5,2,19,Mumbai,878.87
Ghodbunder Road,Apartment,Semi-Furnished,917,3,3,2,2,MMR,78.54
Marine Drive,Apartment,Unfurnished,811,2,2,1,18,MMR,575.08
Vile Parle East,Apartment,Semi-Furnished,391,1,1,0,11,Mumbai,108.25
Lokhandwala,Apartment,Unfurnished,422,1,1,2,5,MMR,126.86
Lower Parel,Apartment,Semi-Furnished,1433,4,4,1,8,Mumbai,507.9
Malad East,Apartment,Semi-Furnished,434,1,1,1,12,Mumbai,56.64
Belapur,Apartment,Semi-Furnished,812,3,3,1,16,MMR,89.41
Lokhandwala,Apartment,Unfurnished,2264,5,5,1,9,MMR,538.36
Kanjurmarg,Apartment,Semi-Furnished,547,2,2,2,3,MMR,86.17
Nariman Point,Apartment,Semi-Furnished,760,2,2,1,39,MMR,523.62
Manpada,Apartment,Unfurnished,940,3,3,3,29,MMR,66.83
Kandivali East,Apartment,Unfurnished,1454,4,4,0,6,Mumbai,200.9
Ghatkopar West,Apartment,Semi-Furnished,584,2,2,1,9,Mumbai,128.41
Naigaon,Apartment,Unfurnished,756,2,2,1,5,Vasai-Virar,26.0
Vasai,Apartment,Unfurnished,495,1,1,1,6,Vasai-Virar,20.63
Mumbra,Apartment,Unfurnished,1092,3,3,2,19,Thane,42.5
Parel,Apartment,Fully Furnished,484,1,1,0,7,Mumbai,206.81
Worli,Apartment,Unfurnished,1183,3,3,3,40,Mumbai,673.66
Versova,Apartment,Unfurnished,736,2,2,1,10,MMR,245.72
Parel,Apartment,Unfurnished,501,1,1,1,8,Mumbai,168.3
Bandra West,Apartment,Fully Furnished,1037,3,3,2,6,Mumbai,746.92
Mulund East,Apartment,Unfurnished,1589,4,4,0,22,Mumbai,223.93
Mazgaon,Apartment,Unfurnished,645,2,2,2,17,MMR,176.3
Dombivli,Apartment,Unfurnished,415,1,1,1,9,Thane,20.34
Andheri West,Apartment,Semi-Furnished,346,1,1,2,18,Mumbai,108.47
Panvel,Apartment,Fully Furnished,959,3,3,2,4,Navi Mumbai,68.15
Santacruz East,Apartment,Fully Furnished,593,2,2,1,2,Mumbai,179.77
Dahisar,Apartment,Unfurnished,1489,4,4,2,6,Mumbai,225.06
Chembur,Apartment,Semi-Furnished,903,3,3,1,8,Mumbai,158.04
Cuffe Parade,Apartment,Unfurnished,3095,5,5,1,32,MMR,2657.72
Bhayandar,Apartment,Unfurnished,961,3,3,2,17,Mira-Bhayandar,67.4
Ambernath,Apartment,Unfurnished,563,2,2,1,15,Thane,20.77
Lokhandwala,Apartment,Unfurnished,2915,5,5,1,18,MMR,901.89
Airoli,Apartment,Unfurnished,1171,3,3,1,19,Navi Mumbai,90.69
Mira Road,Apartment,Unfurnished,443,1,1,2,10,Mira-Bhayandar,28.36
Bandra East,Apartment,Unfurnished,2351,5,5,2,5,Mumbai,1010.87
Byculla,Apartment,Fully Furnished,586,2,2,1,21,Mumbai,182.64
Santacruz West,Apartment,Fully Furnished,367,1,1,1,3,Mumbai,224.51
Parel,Apartment,Unfurnished,750,2,2,1,32,Mumbai,224.55
Kalwa,Apartment,Unfurnished,452,2,2,3,8,Thane,24.1
Parel,Apartment,Unfurnished,642,2,2,3,10,Mumbai,242.02
Lower Parel,Apartment,Semi-Furnished,422,1,1,3,14,Mumbai,225.01
Taloja,Apartment,Fully Furnished,685,2,2,2,3,Navi Mumbai,36.51
Bandra East,Apartment,Fully Furnished,494,2,2,0,19,Mumbai,194.24
Ghodbunder Road,Apartment,Semi-Furnished,673,2,2,2,11,MMR,55.23
Worli,Apartment,Unfurnished,497,2,2,1,40,Mumbai,313.16
Belapur,Apartment,Fully Furnished,707,3,3,3,29,MMR,82.18
Vasai,Apartment,Unfurnished,776,2,2,1,3,Vasai-Virar,41.82
Sewri,Apartment,Unfurnished,1037,3,3,1,4,MMR,317.18
Matunga,Apartment,Semi-Furnished,2269,5,5,3,12,MMR,652.84
Colaba,Apartment,Unfurnished,657,2,2,1,4,MMR,444.96
Kharghar,Apartment,Unfurnished,757,2,2,1,12,Navi Mumbai,66.16
Byculla,Apartment,Semi-Furnished,654,2,2,1,2,Mumbai,248.74
Malabar Hill,Apartment,Semi-Furnished,1848,5,5,1,20,MMR,1151.63
Ghansoli,Apartment,Semi-Furnished,876,3,3,2,7,Navi Mumbai,94.83
Dombivli,Apartment,Fully Furnished,445,2,2,3,21,Thane,25.72
Versova,Apartment,Fully Furnished,395,1,1,2,4,MMR,111.75
Santacruz West,Apartment,Unfurnished,611,2,2,1,20,Mumbai,261.35
Thane East,Apartment,Unfurnished,504,1,1,3,15,Thane,30.29
Khar West,Apartment,Unfurnished,729,2,2,1,9,MMR,318.45
Goregaon East,Apartment,Unfurnished,732,2,2,1,24,Mumbai,129.09
Ghodbunder Road,Apartment,Semi-Furnished,1584,4,4,2,2,MMR,152.13
Mira Road,Apartment,Semi-Furnished,364,1,1,1,23,Mira-Bhayandar,26.46
Santacruz East,Apartment,Semi-Furnished,869,3,3,0,17,Mumbai,251.89
Mazgaon,Apartment,Unfurnished,686,2,2,3,11,MMR,155.43
Khar West,Apartment,Unfurnished,2484,5,5,3,11,MMR,1405.71
Badlapur,Apartment,Semi-Furnished,1226,3,3,0,9,Thane,44.11
Powai,Apartment,Unfurnished,375,1,1,1,3,Mumbai,76.88
Bkc (Bandra-Kurla),Apartment,Unfurnished,646,3,3,2,30,MMR,479.62
Dadar East,Apartment,Unfurnished,914,3,3,2,16,MMR,239.64
Nerul,Apartment,Unfurnished,583,2,2,1,5,Navi Mumbai,75.25
Vikhroli,Apartment,Unfurnished,830,3,3,1,12,Mumbai,117.49
Belapur,Apartment,Unfurnished,777,3,3,2,6,MMR,64.79
Juhu,Apartment,Unfurnished,851,2,2,2,6,Mumbai,447.51
Nariman Point,Apartment,Unfurnished,1587,4,4,1,9,MMR,1000.48
Ghansoli,Apartment,Semi-Furnished,521,1,1,1,6,Navi Mumbai,51.75
Borivali East,Apartment,Fully Furnished,507,1,1,2,22,Mumbai,64.85
Lokhandwala,Apartment,Unfurnished,662,2,2,1,18,MMR,152.43
Bhandup,Apartment,Unfurnished,410,1,1,1,4,Mumbai,61.36
Mulund West,Apartment,Unfurnished,423,1,1,2,3,Mumbai,59.9
Kandivali West,Apartment,Semi-Furnished,705,2,2,3,19,Mumbai,84.83
Naigaon,Apartment,Unfurnished,547,1,1,1,30,Vasai-Virar,24.14
Malad East,Apartment,Semi-Furnished,954,3,3,1,39,Mumbai,121.18
Mira Road,Apartment,Fully Furnished,830,3,3,2,18,Mira-Bhayandar,59.4
Kandivali West,Apartment,Unfurnished,1374,4,4,3,3,Mumbai,246.67
Seawoods,Apartment,Unfurnished,662,2,2,1,4,Navi Mumbai,79.91
Colaba,Apartment,Unfurnished,650,2,2,1,6,MMR,338.71
Vile Parle East,Apartment,Unfurnished,805,3,3,2,29,Mumbai,227.08
Malabar Hill,Apartment,Semi-Furnished,2216,5,5,1,35,MMR,1571.86
Nariman Point,Apartment,Unfurnished,435,2,2,1,3,MMR,272.62
Vikhroli,Apartment,Semi-Furnished,1640,4,4,2,2,Mumbai,321.11
Mulund West,Apartment,Unfurnished,354,1,1,1,8,Mumbai,46.94
Panvel,Apartment,Semi-Furnished,969,3,3,1,17,Navi Mumbai,76.36
Dadar East,Apartment,Fully Furnished,732,2,2,2,4,MMR,238.31
Sion,Apartment,Unfurnished,946,3,3,2,5,Mumbai,324.66
Dombivli,Apartment,Unfurnished,1720,4,4,3,11,Thane,83.12
Pedder Road,Apartment,Unfurnished,3129,5,5,1,5,MMR,2898.77
Virar,Apartment,Unfurnished,532,1,1,2,9,Vasai-Virar,22.48
Sion,Apartment,Semi-Furnished,753,2,2,0,18,Mumbai,207.91
Mira Road,Apartment,Fully Furnished,412,1,1,1,22,Mira-Bhayandar,37.57
Mumbra,Apartment,Unfurnished,838,3,3,1,5,Thane,42.11
Pedder Road,Apartment,Semi-Furnished,1018,3,3,1,32,MMR,632.58
Juhu,Apartment,Semi-Furnished,2514,5,5,1,10,Mumbai,1046.52
Kurla East,Apartment,Unfurnished,671,2,2,1,8,MMR,133.49
Airoli,Apartment,Semi-Furnished,834,3,3,2,17,Navi Mumbai,80.3
Thane East,Apartment,Semi-Furnished,1455,4,4,1,6,Thane,152.02
Kharghar,Apartment,Fully Furnished,438,1,1,2,7,Navi Mumbai,46.54
Dombivli,Apartment,Unfurnished,1787,4,4,1,4,Thane,81.31
Ghatkopar West,Apartment,Unfurnished,1039,3,3,2,26,Mumbai,202.85
Kharghar,Apartment,Unfurnished,502,1,1,1,7,Navi Mumbai,61.08
Santacruz West,Apartment,Fully Furnished,459,1,1,2,13,Mumbai,233.41
Dadar West,Apartment,Unfurnished,3018,5,5,2,2,MMR,1536.72
Bkc (Bandra-Kurla),Apartment,Unfurnished,1009,3,3,1,3,MMR,663.7
Mulund West,Apartment,Fully Furnished,862,3,3,0,20,Mumbai,144.18
Tardeo,Apartment,Semi-Furnished,656,2,2,2,12,MMR,303.18
Nala Sopara,Apartment,Fully Furnished,749,3,3,3,40,Vasai-Virar,27.07
Nala Sopara,Apartment,Fully Furnished,710,2,2,2,37,Vasai-Virar,30.06
Vasai,Apartment,Semi-Furnished,1213,3,3,0,15,Vasai-Virar,55.74
Chembur,Apartment,Unfurnished,611,2,2,1,6,Mumbai,90.57
Andheri West,Apartment,Unfurnished,520,1,1,2,6,Mumbai,156.39
Kalyan,Apartment,Unfurnished,701,2,2,0,29,Thane,40.1
Kurla West,Apartment,Semi-Furnished,688,2,2,1,4,MMR,141.47
Parel,Apartment,Fully Furnished,1028,3,3,2,5,Mumbai,508.72
Lokhandwala,Apartment,Fully Furnished,1412,4,4,3,5,MMR,394.64
Worli,Apartment,Fully Furnished,850,3,3,2,20,Mumbai,719.37
Dadar West,Apartment,Unfurnished,437,1,1,2,11,MMR,171.35
Cuffe Parade,Apartment,Semi-Furnished,1667,4,4,0,2,MMR,1272.35
Goregaon West,Apartment,Fully Furnished,721,2,2,3,8,Mumbai,117.0
Powai,Apartment,Unfurnished,1465,4,4,3,2,Mumbai,422.4
Badlapur,Apartment,Unfurnished,552,2,2,1,8,Thane,22.92
Bhandup,Apartment,Semi-Furnished,1075,3,3,1,32,Mumbai,158.09
Vile Parle West,Apartment,Semi-Furnished,501,2,2,2,12,Mumbai,173.92
Manpada,Apartment,Semi-Furnished,1297,4,4,2,15,MMR,88.66
Malad West,Apartment,Semi-Furnished,603,2,2,2,10,Mumbai,113.75
Byculla,Apartment,Semi-Furnished,821,3,3,1,7,Mumbai,304.02
Goregaon West,Apartment,Unfurnished,549,2,2,2,21,Mumbai,98.32
Kopar Khairane,Apartment,Semi-Furnished,784,2,2,1,4,MMR,94.43
Dadar East,Apartment,Fully Furnished,481,1,1,2,12,MMR,185.32
Ghodbunder Road,Apartment,Semi-Furnished,1574,4,4,2,3,MMR,167.53
Dahisar,Apartment,Unfurnished,485,1,1,1,2,Mumbai,64.4
Ambernath,Apartment,Semi-Furnished,650,2,2,1,23,Thane,28.42
Naigaon,Apartment,Unfurnished,1021,3,3,1,4,Vasai-Virar,48.22
Dadar East,Apartment,Unfurnished,649,2,2,2,7,MMR,184.69
Byculla,Apartment,Semi-Furnished,374,1,1,1,13,Mumbai,111.1
Goregaon East,Apartment,Semi-Furnished,1384,4,4,2,15,Mumbai,299.52
Bhayandar,Apartment,Semi-Furnished,1050,3,3,3,8,Mira-Bhayandar,80.78
Kopar Khairane,Apartment,Unfurnished,1429,4,4,2,33,MMR,129.58
Bhayandar,Apartment,Fully Furnished,431,1,1,2,6,Mira-Bhayandar,37.69
Colaba,Apartment,Fully Furnished,714,2,2,0,37,MMR,315.49
Lower Parel,Apartment,Semi-Furnished,479,1,1,0,13,Mumbai,211.98
Goregaon West,Apartment,Unfurnished,1039,4,4,2,6,Mumbai,131.63
Dadar West,Apartment,Semi-Furnished,1880,5,5,2,5,MMR,644.83
Naigaon,Apartment,Unfurnished,728,2,2,3,30,Vasai-Virar,22.14
Airoli,Apartment,Semi-Furnished,723,2,2,2,2,Navi Mumbai,114.1
Vikhroli,Apartment,Unfurnished,810,2,2,2,9,Mumbai,132.59
Khar West,Apartment,Unfurnished,715,2,2,2,7,MMR,302.2
Santacruz East,Apartment,Unfurnished,423,1,1,0,4,Mumbai,99.13
Mulund East,Apartment,Unfurnished,584,2,2,1,9,Mumbai,90.04
Matunga,Apartment,Unfurnished,730,3,3,0,24,MMR,218.67
Thane East,Apartment,Unfurnished,798,3,3,3,18,Thane,70.64
Dahisar,Apartment,Semi-Furnished,405,1,1,2,6,Mumbai,58.94
Andheri East,Apartment,Semi-Furnished,917,3,3,2,18,Mumbai,222.63
Borivali East,Apartment,Fully Furnished,1382,4,4,1,3,Mumbai,188.93
Matunga,Apartment,Semi-Furnished,712,3,3,2,12,MMR,208.03
Goregaon East,Apartment,Fully Furnished,1806,5,5,1,16,Mumbai,271.15
Dadar East,Apartment,Unfurnished,391,1,1,1,10,MMR,105.6
Bandra East,Apartment,Unfurnished,699,2,2,2,34,Mumbai,253.47
Wadala,Apartment,Unfurnished,884,3,3,3,3,Mumbai,249.53
Santacruz West,Apartment,Semi-Furnished,552,2,2,3,7,Mumbai,294.09
Taloja,Apartment,Semi-Furnished,988,3,3,1,34,Navi Mumbai,55.74
Mulund East,Apartment,Semi-Furnished,768,3,3,1,6,Mumbai,96.19
Thane East,Apartment,Unfurnished,824,2,2,1,20,Thane,56.57
Kanjurmarg,Apartment,Unfurnished,615,2,2,1,13,MMR,93.7
Sewri,Apartment,Fully Furnished,700,2,2,2,19,MMR,179.11
Virar,Apartment,Fully Furnished,673,2,2,1,40,Vasai-Virar,23.91
Malad East,Apartment,Unfurnished,687,2,2,1,3,Mumbai,98.55
Bkc (Bandra-Kurla),Apartment,Fully Furnished,951,3,3,1,8,MMR,693.76
Naigaon,Apartment,Fully Furnished,668,2,2,1,12,Vasai-Virar,30.51
Kalwa,Apartment,Semi-Furnished,2410,5,5,2,18,Thane,159.38
Vile Parle East,Apartment,Unfurnished,619,2,2,1,23,Mumbai,166.17
Ghansoli,Apartment,Unfurnished,673,2,2,1,28,Navi Mumbai,62.8
Andheri West,Apartment,Unfurnished,641,2,2,1,12,Mumbai,184.15
Goregaon West,Apartment,Semi-Furnished,2830,5,5,3,12,Mumbai,340.85
Mulund East,Apartment,Unfurnished,1777,4,4,2,6,Mumbai,183.62
Marine Drive,Apartment,Semi-Furnished,738,2,2,3,12,MMR,605.69
Khar West,Apartment,Unfurnished,356,1,1,1,9,MMR,171.91
Marine Drive,Apartment,Unfurnished,826,3,3,1,4,MMR,526.41
Mazgaon,Apartment,Fully Furnished,619,2,2,2,9,MMR,189.41
Kandivali East,Apartment,Unfurnished,1403,4,4,1,4,Mumbai,180.92
Sewri,Apartment,Unfurnished,2594,5,5,3,9,MMR,710.14
